fid,도로길이,도로개수
3828,2722.59962413906,32
3829,2577.88200379742,37
3834,1453.56444746594,16
3835,2387.99250322577,30
3836,5030.63412776179,76
3837,3323.36535155002,43
3838,2706.70016572764,40
3839,3907.36077749721,47
3840,5016.51351854635,66
3841,2104.45704564633,33
3842,7096.2849265561,104
3843,6024.68962424395,101
3844,1696.03011784066,15
3845,4466.46136201671,54
3846,4945.44894689414,78
3847,4050.5295609909,41
3848,344.540080300167,3
3849,3437.20053141621,34
3850,2929.47952589171,36
3854,3644.16937446315,40
3855,4757.80883995979,74
3856,2445.25207613816,35
3857,57.0088072385898,1
3858,1144.31763242591,8
3859,3342.96940904569,18
3860,1267.33950949764,12
3861,44.6959122663329,2
3862,3399.30658086088,39
3863,4638.31444157403,55
3864,2128.44657074182,25
3865,1493.2460311915,8
3902,2710.89120847873,26
3907,2239.06183119944,11
